dataset,selector,model,accuracy,balanced_accuracy,f1,auroc,dpd,dpr,equal_opportunity_difference,equalized_odds_difference,mean_selected_mi_sensitive,joint_subset_mi_sensitive,sensitive_attacker_balanced_accuracy,k,lambda_values,selector_runtime_seconds,n_selected_features,selected_features
ACSIncome,FairmRMR_k5_lambda2.0,logistic_regression,0.762,0.769022699169758,0.7345724907063197,0.8378967202496613,0.05068641404523927,0.9009146822821095,0.06633261751371988,0.06633261751371988,0.007326352504716571,0.4570316818325399,0.5996525303721838,5,0.0|0.5|1.0|2.0,0.8796939849853516,5,education|relationship|hours-per-week|class-worker|age
ACSIncome,FairmRMR_k5_lambda2.0,random_forest,0.7606666666666667,0.746566419360537,0.6955046649703138,0.8383696196196198,0.04551385481297482,0.8857990777101272,0.03647271363806792,0.03647271363806792,0.007326352504716571,0.4570316818325399,0.5996525303721838,5,0.0|0.5|1.0|2.0,0.8796939849853516,5,education|relationship|hours-per-week|class-worker|age
ACSIncome,FairmRMR_k5_lambda2.0,gradient_boosting,0.784,0.7733836777954425,0.73,0.8670002723311547,0.044108541183945305,0.8929164324649351,0.06033336741998163,0.06033336741998163,0.007326352504716571,0.4570316818325399,0.5996525303721838,5,0.0|0.5|1.0|2.0,0.8796939849853516,5,education|relationship|hours-per-week|class-worker|age
ACSIncome,FairCFS_k5_lambda2.0,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,4.745165824890137,5,education|relationship|hours-per-week|age|occupation
ACSIncome,FairCFS_k5_lambda2.0,random_forest,0.7906666666666666,0.7790143084260731,0.7361344537815127,0.8731084025201672,0.07772479185025782,0.8151228216972191,0.004703957459862962,0.019438751699368928,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,4.745165824890137,5,education|relationship|hours-per-week|age|occupation
ACSIncome,FairCFS_k5_lambda2.0,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808772007301419,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,4.745165824890137,5,education|relationship|hours-per-week|age|occupation
ACSIncome,FairLasso_k5_lambda2.0,logistic_regression,0.7693333333333333,0.7721692280515811,0.7358778625954199,0.8445219116174999,0.010851246744715715,0.9769235760441833,0.09087500426083095,0.09087500426083095,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.4300363063812256,5,hours-per-week|education|age|occupation|relationship
ACSIncome,FairLasso_k5_lambda2.0,random_forest,0.798,0.7867315845257021,0.7455919395465995,0.8732160469292821,0.08970854549142004,0.7896577409132801,0.011044074036200002,0.02614491812592576,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.4300363063812256,5,hours-per-week|education|age|occupation|relationship
ACSIncome,FairLasso_k5_lambda2.0,gradient_boosting,0.8033333333333333,0.792759671436142,0.7531380753138075,0.8808624801271859,0.06764709577490574,0.8386273628326162,0.035790980672870454,0.035790980672870454,0.0161153790399976,0.4802693016961248,0.5932317008602386,5,0.0|0.5|1.0|2.0,0.4300363063812256,5,hours-per-week|education|age|occupation|relationship
ACSIncome,BasicFACMIM_k5_lambda2.0,logistic_regression,0.7673333333333333,0.7747968556792086,0.74090571640683,0.8393071380203734,0.058500891108833775,0.8867147449821878,0.053209257933667375,0.053209257933667375,0.005322605185855955,0.46821586109469226,0.5964362825775211,5,0.0|0.5|1.0|2.0,1.3060572147369385,5,education|age|hours-per-week|relationship|birthplace
ACSIncome,BasicFACMIM_k5_lambda2.0,random_forest,0.766,0.7556416710828475,0.7091963545981773,0.838052206618383,0.044537493875309364,0.8931359840834414,0.07267273409005692,0.07267273409005692,0.005322605185855955,0.46821586109469226,0.5964362825775211,5,0.0|0.5|1.0|2.0,1.3060572147369385,5,education|age|hours-per-week|relationship|birthplace
ACSIncome,BasicFACMIM_k5_lambda2.0,gradient_boosting,0.7866666666666666,0.7766516516516516,0.7342192691029901,0.8676985809338751,0.0489688084986476,0.8825034128443529,0.04288100351092472,0.04288100351092472,0.005322605185855955,0.46821586109469226,0.5964362825775211,5,0.0|0.5|1.0|2.0,1.3060572147369385,5,education|age|hours-per-week|relationship|birthplace
ACSIncome,SubsetFACMIM_k5_lambda2.0,logistic_regression,0.7326666666666667,0.7406928987811341,0.7053637031594416,0.81436583642466,0.0674353116009268,0.872708115945957,0.033541261887718665,0.03651360509709234,0.007202398337198879,0.4337786824499761,0.5902774911113464,5,0.0|0.5|1.0|2.0,2.806779146194458,5,education|relationship|hours-per-week|class-worker|birthplace
ACSIncome,SubsetFACMIM_k5_lambda2.0,random_forest,0.74,0.730127186009539,0.6798029556650246,0.8025599128540305,0.01213631003767246,0.9703614742996901,0.07464975968912968,0.07464975968912968,0.007202398337198879,0.4337786824499761,0.5902774911113464,5,0.0|0.5|1.0|2.0,2.806779146194458,5,education|relationship|hours-per-week|class-worker|birthplace
